column name in phenotypes list,Number of species with data,type,unit,numeric range,phenotype codes (comma sep),submitter,"references (URLs, comma sep)",notes on submitter's confidence in this phenotype source,other notes
Resting body temperature (°C),157,quantitative,°C,,continous variable,Danielle Levesque,see tab 5.,complete ref list available,Body temperatures taken the lower limit of the thermoneutral zone in resting animals duing the rest phase (rounded to nearest 0.5°C). Mostly rectal but some implanted into the peritoneum.
BINNED Resting body temperature (°C),157,descriptive,NA,,"""Low"", ""High"", """"; where low is Resting body Temperature (column KG in tab 2 or row 52 above) is less than or equal to 35.5",Danielle Levesque,see tab 5.,complete ref list available,Body temperatures taken the lower limit of the thermoneutral zone in resting animals duing the rest phase (rounded to nearest 0.5°C). Mostly rectal but some implanted into the peritoneum.
3-BIN Resting body temperature (°C),157,descriptive,NA,,"""Low"", ""Medium"", ""High"", """"; where low is Resting body Temperature (column KG in tab 2 or row 52 above) is less than or equal to 35.5, Medium is 36 to 37.5 (inclusive), High is 38 and above",Danielle Levesque,see tab 5.,complete ref list available,Body temperatures taken the lower limit of the thermoneutral zone in resting animals duing the rest phase (rounded to nearest 0.5°C). Mostly rectal but some implanted into the peritoneum.
Solitary,410,descriptive,NA,,"false, true","BaDoi Phan, Alyssa Lawler",https://science.sciencemag.org/content/341/6145/526.abstract,I have no idea,"summary of other references, some species switched to N/A based on concerns from Kathryn Lord"
Social monogamy,410,descriptive,NA,,"false, true","BaDoi Phan, Alyssa Lawler",https://science.sciencemag.org/content/341/6145/526.abstract,I have no idea,"summary of other references, some species switched to N/A based on concerns from Kathryn Lord"
Group living,410,descriptive,NA,,"false, true","BaDoi Phan, Alyssa Lawler",https://science.sciencemag.org/content/341/6145/526.abstract,I have no idea,"summary of other references, some species switched to N/A based on concerns from Kathryn Lord"
Paternal Care,410,descriptive,NA,,"false, true","BaDoi Phan, Alyssa Lawler",https://science.sciencemag.org/content/341/6145/526.abstract,I have no idea,"summary of other references, some species switched to N/A based on concerns from Kathryn Lord"
Number of Olfactory Turbinals,63,quantitative,NA,"0,74",continous variable,Irina Ruf,see tab 5.,,"olfactory turbinal count comprises frontoturbinals, ethmoturbinals, interturbinals and the lamina semicircularis of both sides of the nasal cavity, only adult patterns are taken into account "
Homeotherm,200,descriptive,NA,,Species exhibits evidence for being a homeotherm (1) or not being a homeotherm (0),Cornelia Fanter,see tab 5.,complete ref list available,
Torpidator,201,descriptive,NA,,Species exhibits evidence for being a torpidator (1) or not being a torpidator (0),Cornelia Fanter,see tab 5.,complete ref list available,
Deep Hibernator,215,descriptive,NA,,Species exhibits evidence for being a deep hibernator (1) or not being a deep hibernator (0),Cornelia Fanter,see tab 5.,complete ref list available,
Hibernator,200,descriptive,NA,,Species exhibits evidence for being a hibernator (1) or not being a hibernator (0),Cornelia Fanter,see tab 5.,complete ref list available,
